Scientific Name,Common Name,Image
Elophila obliteralis,Waterlily Leafcutter Moth,-_4755_%E2%80%93_Elophila_obliteralis_%E2%80%93_Waterlily_Leafcutter_Moth_%2821628533666%29_%282%29.jpg
Clepsis melaleucana,"Black-patched Clepsis Moth, Trillium Tortrix",Clepsis_melaleucana_1.jpg
Euplexia benesimilis,American Angle Shades,Euplexia_benesimilis.jpg
Besma quercivoraria,Oak Besma,640px-Besma_quercivoraria_03.jpg
Hesperia leonardus,Leonard's Skipper,640px-Hesperia_leonardus_leonardus.JPG
Hadena ectypa,Campion Coronet,JV10316-300-26.jpg
Hadena capsularis,Capsule Moth,CVDB10317-225-4.jpg
Lacinipolia renigera,"Bristly Ground Cat, Bristly Cutworm Moth, Kidney Spotted ""Mamestra""",Bristly_Cutworm_Moth_0769.9.18.07.w.wiki.jpg
Sparganothis unifasciana ,One-lined Sparganothis,CaWo3711-LARGE.jpg
Melanchra adjuncta,Hitched Arches,Hitched_Arches_caterpillar_-_Melanchra_adjuncta%2C_Friendsville%2C_Maryland_-_27709279251.jpg
Hesperia sassacus,the Indian skipper,330px-Indian_Skipper_%28Hesperia_sassacus%29_on_Hieracium_canadense%2C_Mer_Bleue.jpg
Euptoieta claudia,variegated fritillary,330px-Variegated_Fritillary%2C_Megan_McCarty83.jpg
Junonia coenia,Common Buckeye,330px-Butterfly_in_Jamaica_Bay_Wildlife_Refuge_%2841100%29.jpg
Callophrys augustinus,The Brown Elfin,330px-Callophrys_augustinus_2.jpg
Archips purpurana,Omnivorous Leafroller Moth,330px-Archips_purpurana.jpg
Spodoptera ornithogalli,Yellowstriped Armyworm Moth,330px-Spodoptera_ornithogalli.jpg
Nematocampa resistaria,filament bearer,330px-Nematocampa_resistaria.jpg
Campaea perlata,Pale Beauty,imageRender.aspx?filename=pale beauty-alder.jpg
Agriopodes fallax,The Green Marvel,Acronicta_fallax_male.jpg
Paonias excaecatus,Blinded Sphinx,imageRender.aspx?filename=blinded%20sphinx%20moth-black%20cherry.jpg
Eacles imperialis,Imperial Moth,imageRender.aspx?filename=Imperial moth-pine.jpg
Schizura badia,Chestnut Schizura,8Q102QA0BQ2K5KTK5KOK8KAK5KNKQK10WQTK1QY0BQHSUQLSMKCKVQ1KUQJ08KY07KY0GK30GKCKVQO05Q6KHKT00K.jpg
Archips purpurana,Omnivorous Leafroller Moth,800px-Archips_purpurana.jpg
Eubaphe mendica,The Beggar,imageRender.aspx?filename=the%20beggar-maple.jpg
Alypia octomaculata,Eight-Spot Forester,imageRender.aspx?filename=8-spotted forester moth.jpg
